Aargauer Gold-Hahnenfuß	Ranunculus argoviensis
Breitstachelige Brombeere	Rubus platyacanthus P. J. Müll. & Lefèvre
Breitstachliges Raues Hornblatt	Ceratophyllum demersum
Breitstachliges Raues Hornblatt	Ceratophyllum demersum subsp. platyacanthum
Breitwegerich	Plantago major
Breitwegerich	Plantago major L. s.l.
Brembana-Erle	Alnus brembana
Brembana-Erle	Alnus brembana Rota
Bremberger Brombeere	Rubus tabanimontanus
Bremberger Brombeere	Rubus tabanimontanus Figert
Brembo-Erle	Alnus brembana
Brembo-Erle	Alnus brembana Rota
Bremis Wasserschlauch	Utricularia bremii
Bremis Wasserschlauch	Utricularia bremii Heer
Brenn-Pastinak	Pastinaca sativa
Brenn-Pastinak	Pastinaca sativa subsp. urens
Brenndolde	Cnidium
Brenndolde	Cnidium silaifolium
Brenndolde	Cnidium silaifolium (Jacq.) Simonk.
brennende Barbadoskirsche	Malpighia urens
Brennende Liebe	Lychnis chalcedonica
brennende Liebe	Silene chalcedonica
Brennende Waldrebe	Clematis flammula
Brennende Waldrebe	Clematis flammula L.
brennende Weißnessel	Cnidoscolus urens
brennender Busch	Dictamnus albus
Brennender Hahnenfuss	Ranunculus flammula
Brennender Hahnenfuß	Ranunculus flammula
Brennender Hahnenfuß	Ranunculus flammula agg.
Brennender Hahnenfuss	Ranunculus flammula L.
Brennender Hahnenfuß	Ranunculus flammula L.
Brennender Pastinak	Pastinaca sativa
Brennender Pastinak	Pastinaca sativa subsp. urens (Godr.) ?elak.
Brennender Pastinak	Pastinaca sativa subsp. urens (Godr.) Celak.
Brennendes Adonisröschen	Adonis flammea
Brennessel	Urtica
Brennessel	Urtica dioica
Brennesselartige	Urticales
Brennesselblättrige Glockenblume	Campanula trachelium
Brennesselgewächse	Urticaceae
Brennkraut	Acalypha indica
Brennnessel	Urtica
Brennnesselgewächse	Urticaceae
Brennpalme	Caryota urens
Brennpalme	Caryota urens L.
Breynes-Berg-Hahnenfuss	Ranunculus breyninus
Breynes-Berg-Hahnenfuss	Ranunculus breyninus Crantz
Briacon-Mannsschild	Androsace carnea
Briacon-Mannsschild	Androsace carnea ssp. brigantiaca
Brillenschötchen	Biscutella
Brillenschötchen	Biscutella laevigata
Brillenschötchen	Biscutella laevigata L.
Britannischer Schnabelsenf	Coincya monensis
Brittingers Knöterich	Polygonum lapathifolium
Brittingers Knöterich	Polygonum lapathifolium subsp. brittingeri (Opiz) Jáv.
Brittingers Knöterich	Polygonum lapathifolium subsp. danubiale (A. Kern.) O. Schwarz
Brocken-Anemone	Pulsatilla alba
Brocken-Anemone	Pulsatilla alpina
Brocken-Anemone	Pulsatilla alpina subsp. alba
Brocken-Küchenschelle	Pulsatilla alpina
Brocken-Küchenschelle	Pulsatilla alpina subsp. alba
Brocken-Kuhschelle	Pulsatilla alpina
Brocken-Kuhschelle	Pulsatilla alpina subsp. alba Kerner ex Zämelis & Paegle
Brockenkuhschelle	Pulsatilla alpina
Brockenkuhschelle	Pulsatilla alpina subsp. alba Kerner ex Zämelis & Paegle
Broddesons Löwenzahn	Taraxacum broddesonii
Brokkoli	Brassica oleracea
Brokkoli	Brassica oleracea var. alboglabra
Brokkoli	Brassica oleracea var. italica
Brombeere	Rubus
Brombeere	Rubus armeniacus
Brombeere	Rubus caesius
Brombeere	Rubus fruticosus
Brombeere	Rubus fruticosus aggr. auct. helv.
Brombeere	Rubus ulmifolius
Bromelie	Guzmania
Bromeliengewächse	Bromeliaceae
Bronzeblättriger Fenchel	Foeniculum vulgare
Brotfruchtbaum	Artocarpus altilis
Brotklee	Trigonella caerulea
Brotnußbaum	Brosimum alicastrum
Brotwurzel	Dioscorea bulbifera
Browns Lilie	Lilium brownii
Bruch-Weide	Salix ×fragilis
Bruch-Weide	Salix ×fragilis L.
Bruch-Weide	Salix euxina
Bruch-Weide	Salix euxina I. V. Belyaeva
Bruch-Weide	Salix fragilis
Bruch-Weide	Salix fragilis agg.
Bruch-Weide	Salix fragilis L.
Bruch-Weide	Salix x fragilis
Bruchkraut	Herniaria
Bruchkraut	Herniaria glabra
Bruchweide	Salix fragilis
Bruchweide	Salix fragilis agg.
Bruchweide	Salix fragilis L.
Brunelle	Prunella
Brunfelsie	Brunfelsia uniflora
Brunnen-Haar-Wasserhahnenfuss	Ranunculus trichophyllus
Brunnen-Haar-Wasserhahnenfuss	Ranunculus trichophyllus subsp. eradicatus (Laest.) C. D. K. Cook
Brunnen-Löwenzahn	Taraxacum fontanum
Brunnen-Löwenzahn	Taraxacum fontanum aggr.
Brunnen-Pfaffenröhrlein	Taraxacum fontanum
Brunnen-Pfaffenröhrlein	Taraxacum fontanum aggr.
Brunnen-Wasser-Hahnenfuß	Ranunculus trichophyllus
Brunnen-Wasser-Hahnenfuß	Ranunculus trichophyllus subsp. lutulentus
Brunnen-Wasserhahnenfuss	Ranunculus trichophyllus
Brunnen-Wasserhahnenfuss	Ranunculus trichophyllus subsp. eradicatus (Laest.) C. D. K. Cook
Brunnenkresse	Nasturtium
Brunnenkresse	Nasturtium microphyllum
Brunnenkresse	Nasturtium officinale
Brunnenkresse	Nasturtium officinale agg.
Brunnenkresse	Nasturtium x sterile
Brunnenkressenblättrige Rampe	Erucastrum nasturtiifolium
Brunnenkressenblättrige Rampe	Erucastrum nasturtiifolium (Poir.) O. E. Schulz
brüsseler Kohl	Brassica oleracea
brüsseler Kohl	Brassica oleracea var. gemmifera
Brustbeerbaum	Ziziphus jujuba
Brustwurz	Angelica archangelica
Brutblatt	Kalanchoe daigremontiana
Brutblatt	Kalanchoe delagoensis
Brutknospen-Schwingel	Festuca vivipara
Brutknospen-Schwingel	Festuca vivipara (L.) Sm.
Bubikopf	Soleirolia soleirolii
Bubikopf	Soleirolia soleirolii (Req.) Dandy
Bubiköpfchen	Soleirolia soleirolii
Buchanan Salbei	Salvia buchananii
Buchanan-Segge	Carex buchananii
Buchara-Schwertlilie	Iris bucharica
Buche	Fagus
Buche	Fagus sylvatica
Buche	Fagus sylvatica L.
Buchenartige	Fagales
Buchenfarn	Phegopteris
Buchenfarn	Phegopteris connectilis
Buchenfarn	Phegopteris connectilis (Michx.) Watt
Buchengewächse	Fagaceae
Buchenspargel	Monotropa hypophegea
Buchenspargel	Monotropa hypophegea Wallr.
Buchs	Buxus
Buchs	Buxus sempervirens
Buchs	Buxus sempervirens L.
Buchs-Kreuzblume	Polygala chamaebuxus
Buchsbaum	Buxus
Buchsbaum	Buxus sempervirens
Buchsbaum	Buxus sempervirens L.
Buchsbaumgewächse	Buxaceae
Buchsblättrige Kreuzblume	Polygala chamaebuxus
Buchsblättrige Kreuzblume	Polygala chamaebuxus L.
buchsblättriges Kreuzblümchen	Polygala chamaebuxus
Buchsblättriges Kreuzblümchen	Polygala chamaebuxus L.
Büchsenkraut	Lindernia
Büchsenkraut	Lindernia procumbens
Büchsenkraut	Lindernia procumbens (Krock.) Borbás
Buchten-Königskerze	Verbascum sinuatum
Buchtiger Löwenzahn	Taraxacum sinuatum
Buchtiger Löwenzahn	Taraxacum sinuatum Dahlst.
Buchu	Agathosma betulina
Buchweizen	Fagopyrum
Buchweizen	Fagopyrum esculentum
Buchweizen	Fagopyrum tataricum
Buckel-Fetthenne	Sedum dasyphyllum
Buckel-Wasserlinse	Lemna gibba
Buckelige Wasserlinse	Lemna gibba
Buckelige Wasserlinse	Lemna gibba L.
bucklige Wasserlinse	Lemna gibba
Bucklige Wasserlinse	Lemna gibba L.
Buddhafinger	Citrus medica
Buddhafinger	Citrus medica var. sarcodactylis
Buddleja	Buddleja davidii
Buddleja	Buddleja davidii Franch.
Büffelbeere	Gaultheria shallon
Büffelgras	Bouteloua dactyloides
Büffelgras	Buchloe dactyloides
Büffelgras	Pennisetum ciliare
Büffelklette	Solanum rostratum
Büffelohr	Blumea balsamifera
Buffonie	Bufonia paniculata
Buffonie	Bufonia paniculata Dubois
Buhn-Brombeere	Rubus buhnensis
Buhn-Brombeere	Rubus buhnensis (G. Braun ex Focke) G. Braun
Buhnbrombeere	Rubus buhnensis
Buhnbrombeere	Rubus buhnensis (G. Braun ex Focke) G. Braun
Bulbillenlose Feuerlilie	Lilium bulbiferum
Bulbillenlose Feuerlilie	Lilium bulbiferum subsp. croceum (Chaix) Baker
Bulbillentragende Feuerlilie	Lilium bulbiferum
Bulbillentragende Feuerlilie	Lilium bulbiferum L. s.str.
Bulbillentragende Feuerlilie	Lilium bulbiferum L. subsp. bulbiferum
Bulbine	Bulbine frutescens
Bulgarische Hundskamille	Anthemis sancti-johannis
Bulgarische Schwertlilie	Iris reichenbachii
Bulgarische Zwerg-Nelke	Dianthus microlepis
bulgarischer Rhabarber	Rheum rhaponticum
Bulley-Schellenblume	Adenophora bulleyana
Buloke	Allocasuarina luehmannii
Bündner Eisenhut	Aconitum degenii
Bündner Eisenhut	Aconitum degenii subsp. rhaeticum
Bündner Rose	Rosa rhaetica
Bündner-Rose	Rosa rhaetica
Bündner-Rose	Rosa rhaetica Gremli
Bunge	Samolus
Bunge	Samolus valerandi
Bunge	Samolus valerandi L.
Bunges Trompetenbaum	Catalpa bungei
Bunt-Bergfenchel	Seseli pallasii
Bunt-Bergfenchel	Seseli pallasii Besser
Bunt-Schwingel	Festuca varia
Bunt-Schwingel	Festuca varia aggr.
Bunt-Weide	Salix alba
Bunt-Weide	Salix alba var. vitellina
Buntblatt	Plectranthus scutellarioides
Buntblättrige Buche	Fagus sylvatica
Buntblättrige Buche	Fagus sylvatica f. purpurea tricolor
Buntblättriger Pfirsichsalbei	Salvia greggii
Buntblättriger Pfirsichsalbei	Salvia greggii 'Variegata'
Bunte Aster	Aster versicolor
Bunte Aster	Aster versicolor Willd.
Bunte Beilwicke	Securigera varia
Bunte Beilwicke	Securigera varia (L.) Lassen
Bunte Berg-Flockenblume	Centaurea triumfettii
Bunte Berg-Flockenblume	Centaurea triumfettii subsp. aligera
Bunte Engelstrompete	Brugmansia versicolor
Bunte Glattblatt-Aster	Aster ×
Bunte Glattblatt-Aster	Aster × versicolor
Bunte Glattblatt-Aster	Aster versicolor
Bunte Glattblatt-Aster	Aster x versicolor
bunte Glattblatt-Aster	Symphyotrichum x versicolor
Bunte Kronwicke	Coronilla varia
bunte Kronwicke	Securigera varia
Bunte Kronwicke	Securigera varia (L.) Lassen
bunte Lupine	Lupinus cosentinii
bunte Margerite	Tanacetum coccineum
bunte Samtpappel	Abutilon pictum
Bunte Schwertlilie	Iris variegata
Bunte Schwertlilie	Iris variegata L.
bunte Sommerwurz	Orobanche variegata
Bunte Wicke	Vicia varia
Bunte Wicke	Vicia varia Host
Bunte Wicke	Vicia villosa
Bunte Wicke	Vicia villosa subsp. varia
Bunte Wicke	Vicia villosa subsp. varia (Host) Corb.
bunte Wolfsmilch	Euphorbia epithymoides
Bunte Wolfsmilch	Euphorbia polychroma
bunte Wucherblume	Glebionis carinata
bunte Wucherblume	Tanacetum coccineum
Bunte Zottige Wicke	Vicia villosa
Bunte Zottige Wicke	Vicia villosa subsp. varia (Host) Corb.
Bunter Augentrost	Euphrasia officinalis
Bunter Augentrost	Euphrasia officinalis subsp. picta
Bunter Eisenhut	Aconitum variegatum
Bunter Eisenhut	Aconitum variegatum L.
Bunter Eisenhut	Aconitum variegatum subsp. variegatum
Bunter Gewürz-Salbei	Salvia officinalis
Bunter Gewürz-Salbei	Salvia officinalis 'Tricolor'
Bunter Hohlzahn	Galeopsis speciosa
Bunter Hohlzahn	Galeopsis speciosa Mill.
Bunter Majoran	Origanum sp.
bunter Salbei	Salvia viridis
Bunter Schachtelhalm	Equisetum variegatum
Bunter Schachtelhalm	Equisetum variegatum Schleich.
Bunter Schachtelhalm	Equisetum variegatum Schleich. ex Weber & D. Mohr
Bunter Schachtelhalm	Equisetum variegatum Schleicher
Bunter Sesel	Seseli varium
Bunter Sesel	Seseli varium Trevir.
Bunter Strahlengriffel	Actinidia kolomikta
Bunter Wiesenhafer	Helictotrichon versicolor
Bunter Wiesenhafer	Helictotrichon versicolor (Vill.) Pilg.
buntes Guineagras	Panicum coloratum
buntes Guineagras	Panicum coloratum var. coloratum
Buntes Läusekraut	Pedicularis oederi
Buntes Läusekraut	Pedicularis oederi Hornem.
Buntes Läusekraut	Pedicularis oederi Vahl
Buntes Perlgras	Melica picta
Buntes Perlgras	Melica picta K. Koch
Buntes Reitgras	Calamagrostis varia
Buntes Reitgras	Calamagrostis varia (Schrad.) Host
Buntes Reitgras	Calamagrostis varia (Schrader) Host
Buntes Vergissmeinnicht	Myosotis discolor
Buntes Vergissmeinnicht	Myosotis discolor Pers.
Buntes Vergissmeinnicht	Myosotis spec
buntfarbene Bauhinie	Bauhinia variegata
Buntgefleckte Drachenlilie	Dracaena surculosa
Bunthafer	Helictotrichon versicolor
Bunthafer	Helictotrichon versicolor (Vill.) Pilg.
buntlaubiges Kupferblatt	Acalypha wilkesiana
Buntnessel	Coleus blumei
Buntnessel	Plectranthus scutellarioides
Buntnessel	Solenostemon scutellarioides
Buntstängelige Haselblattbrombeere	Rubus picticaulis
Buntstengelige Haselblatt-Brombeere	Rubus picticaulis
Buntstengelige Haselblatt-Brombeere	Rubus picticaulis H. E. Weber
Buntstengelige Haselblattbrombeere	Rubus picticaulis
Buntstengelige Haselblattbrombeere	Rubus picticaulis H. E. Weber
Burgunder Schwingel	Festuca burgundiana
Burgunder Schwingel	Festuca burgundiana Auquier & Kerguélen
Buri-Schopfpalme	Corypha utan
Buripalme	Corypha utan
Burkwoods Duftblüte	Osmanthus x burkwoodii
Bursers Steinbrech	Saxifraga burseriana
Bursers Steinbrech	Saxifraga burseriana L.
Bürstengras	Polypogon monspeliensis
Bürstengras	Polypogon monspeliensis (L.) Desf.
Burstgras	Bromus erectus
Burstgras	Bromus erectus Huds. subsp. erectus
Burzeldorn	Tribulus terrestris
Burzeldorn	Tribulus terrestris L.
Busch	Dictamnus albus
Busch-Augentrost	Euphrasia nemorosa
Busch-Augentrost	Euphrasia nemorosa (Pers.) Wallr.
Busch-Bohne	Phaseolus vulgaris
Busch-Bohne	Phaseolus vulgaris var. nanus
Busch-Eiche	Quercus ilicifolia
Busch-Gladiole	Gladiolus imbricatus
Busch-Gladiole	Gladiolus imbricatus L.
Busch-Greiskraut	Senecio hercynicus
Busch-Greiskraut	Senecio hercynicus Herborg
Busch-Hainsimse	Luzula luzuloides
Busch-Hainsimse	Luzula luzuloides (Lam.) Dandy & Wilmott
Busch-Kreuzkraut	Senecio hercynicus
Busch-Kreuzkraut	Senecio hercynicus Herborg
Busch-Nelke	Dianthus barbatus
Busch-Nelke	Dianthus barbatus L.
Busch-Nelke	Dianthus seguieri
Busch-Nelke	Dianthus seguieri subsp. glaber
Busch-Rose	Rosa corymbifera
Busch-Rose	Rosa corymbifera aggr.
Busch-Rose	Rosa corymbifera Borkh.
Busch-Siegwurz	Gladiolus imbricatus
Busch-Siegwurz	Gladiolus imbricatus L.
Busch-Weide	Salix ×
Busch-Weide	Salix × mollissima
Busch-Weide	Salix mollissima
Busch-Windröschen	Anemone nemorosa
Busch-Windröschen	Anemone nemorosa L.
Buschbasilikum	Ocimum basilicum
Buschbasilikum	Ocimum basilicum var. minutum
Büschel-Glockenblume	Campanula glomerata
Büschel-Glockenblume	Campanula glomerata L.
Büschel-Haargras	Stipa capillata
Büschel-Miere	Minuartia rubra
Büschel-Miere	Minuartia rubra (Scop.) McNeill
Büschel-Nelke	Dianthus armeria
Büschelbilsenkraut	Physochlaina orientalis
Büschelblume	Phacelia tanacetifolia
Büschelblume	Phacelia tanacetifolia Benth.
Büschelblütige Haselblatt-Brombeere	Rubus fasciculatus
Büschelblütige Haselblatt-Brombeere	Rubus fasciculatus P. J. Müll.
Büschelblütige Haselblattbrombeere	Rubus fasciculatus
Büschelblütige Haselblattbrombeere	Rubus fasciculatus P. J. Müll.
Büschelglocke	Edraianthus graminifolius
Büschelglocke	Edraianthus pumilio
Büschelglockenblume	Campanula glomerata
Büschelglockenblume	Campanula glomerata L.
Büschelglockenblume	Campanula glomerata var. alba
Büschelige Goldrute	Solidago glomerata
Büschelige Miere	Minuartia rubra
Büschelige Miere	Minuartia rubra (Scop.) McNeill
Büschelige Scheinaster	Vernonia fasciculata
Büscheliges Gipskraut	Gypsophila fastigiata
Büscheliges Gipskraut	Gypsophila fastigiata agg.
Büschelmiere	Minuartia rubra
Büschelmiere	Minuartia rubra (Scop.) McNeill
Büschelschön	Phacelia campanularia
Büschelschön	Phacelia minor
Büschelschön	Phacelia tanacetifolia
Büschelschön	Phacelia viscida
Büschelschöngewächse	Hydrophyllaceae
Buschfriesli	Dianthus barbatus
Buschfriesli	Dianthus barbatus L.
buschige Aster	Symphyotrichum dumosum
Buschige Bergpalme	Chamaedorea plumosa
Buschige Bergpalme	Chamaedorea plumosa D. R. Hodel
buschige Fischschwanzpalme	Caryota mitis
Buschige Goldtrompete	Allamanda schottii
Buschiges Bartgras	Andropogon glomeratus
buschiges Kapörbchen	Dimorphotheca sinuata
Buschkaiserwinde	Ipomoea leptophylla
Buschklee	Lespedeza bicolor
Buschklee	Lespedeza thunbergii
Buschmalve	Lavatera arborea
Buschmalve	Lavatera thuringiaca
buschmanns Schöngift	Acokanthera oppositifolia
Buschwindröschen	Anemone nemorosa
Buschwindröschen	Anemone nemorosa L.
Bush's Mohnmalve	Callirhoe bushii
Butiapalme	Butia capitata
Butiapalme	Butia spp.
Butomaceae	Schwanenblumengewächse
Butomaceae	Wasserlieschgewächse
Butterblume	Caltha palustris
Butterfenchel	Foeniculum vulgare
Butterfenchel	Foeniculum vulgare var. vulgare
Butterfly Schwertlilie	Iris ochroleuca
Butternuss	Juglans cinerea
Butternußbaum	Juglans cinerea
Buxaceae	Buchsbaumgewächse
Buxbaums Segge	Carex buxbaumii
Buxbaums Segge	Carex buxbaumii agg.
Buxbaums Segge	Carex buxbaumii Wahlenb.
Buxblättrige Kreuzblume	Polygala chamaebuxus
byzantinische Siegwurz	Gladiolus communis
byzantinische Siegwurz	Gladiolus communis subsp. byzantinus
Byzantinischer Woll-Ziest	Stachys byzantina
Caapeba	Pothomorphe peltata
Caflischs Brombeere	Rubus caflischii
Caflischs Brombeere	Rubus caflischii Focke
Calabarbohne	Physostigma venenosum
Caldesie	Caldesia parnassifolia
Caldesie	Caldesia parnassifolia (L.) Parl.
Calepine	Calepina irregularis
Calepine	Calepina irregularis (Asso) Thell.
Calla	Zantedeschia albomaculata
Calla	Zantedeschia elliottiana
Calla	Zantedeschia rehmannii
Calla	Zantedescia aethiopica
Camambilarinde	Pithecellobium dulce
Campanulaceae	Glockenblumengewächse
Campher	Cinnamomum camphora
Candelillawachs	Euphorbia antisyphilitica
Candolles Braune Hainsimse	Luzula alpinopilosa
Candolles Braune Hainsimse	Luzula alpinopilosa subsp. candollei
Canna-Blattfahne	Spathiphyllum cannifolium
Cannabaceae	Hanfgewächse
Cannaceae	Blumenrohrgewächse
Cantala-Agave	Agave cantula
Canton-Fischschwanzpalme	Caryota ochlandra
Canton-Fischschwanzpalme	Caryota ochlandra Hance
Capote-Goldnarbe	Xanthosoma robustum
Caprifoliaceae	Geißblattgewächse
Cardy	Cynara cardunculus
Carnaubapalme	Copernicia prunifera
Carnaubapalme	Copernicia prunifera (Mill.) H. E. Moore
Carolina-Nachtschatten	Solanum carolinense
Carolina-Nachtschatten	Solanum carolinense L.
Carolina-Rosskastanie	Aesculus x neglecta
Carolina-Rosskastanie	Aesculus x neglecta 'Erythroblastos'
Carolina-Schneeglöckchenbaum	Halesia carolina
Carpentaria-Palme	Carpentaria acuminata
Carpentaria-Palme	Carpentaria acuminata (H. Wendl. & Drude) Becc.
Carpentierpalme	Carpentaria acuminata
Caryophyllaceae	Nelkengewächse
Cashew	Anacardium occidentale
Cassia siberiana	Cassia siberiana
Cassis	Ribes nigrum
Cassis	Ribes nigrum L.
Catawba-Rhododendron	Rhododendron catawbiense
Catawissazwiebel	Allium x proliferum
Catechu-Palme	Areca catechu
Cauassuwachs	Calathea lutea
Cavanilles' Goldhafer	Trisetum cavanillesii
Cavanilles' Goldhafer	Trisetum cavanillesii Trin.
Cavanilles' Grannenhafer	Trisetum cavanillesii
Cavanilles' Grannenhafer	Trisetum cavanillesii Trin.
Cavilliers Habichtskraut	Hieracium cavillieri
Cavilliers Habichtskraut	Hieracium cavillieri Zahn
Cayenne-Pfeffer	Capsicum frutescens
Cayennekirsche	Eugenia uniflora
Cayennelinaloe	Ocotea cernua
Cayennepfeffer	Capsicum annuum
Cayennepfeffer	Capsicum annuum var. annuum
Cayennerosenholz	Ocotea cernua
Cederwacholder	Juniperus oxycedrus
Cederwacholder	Juniperus oxycedrus subsp. oxycedrus
Celastraceae	Baumwürgergewächse
Celastraceae	Spindelstrauchgewächse
Celmisie	Celmisia hookerii
Celmisie	Celmisia semicordata
Celmisie	Celmisia sessiliflora
Celmisie	Celmisia spectabilis
Celmisie	Celmisia spectabilis ssp. magnifica
Celmisie	Celmisia spedenii
Celmisie	Celmisia traversii
Celmisie	Celmisia walkeri
Cera-Maniok	Manihot carthagenensis
Cera-Maniok	Manihot carthagenensis subsp. glaziovii
Cerakautschukbaum	Manihot carthagenensis
Cerakautschukbaum	Manihot carthagenensis subsp. glaziovii
Ceratophyllaceae	Hornblattgewächse
Cerr-Eiche	Quercus cerris
Cerr-Eiche	Quercus cerris L.
Cervinaminze	Mentha cervina
Ceylon-Kardamom	Elettaria cardamomum
Ceylon-Kardamom	Elettaria cardamomum var. major
Ceylon-Zimtbaum	Cinnamomum verum
Ceyloncitronell	Cymbopogon nardus
Ceylonspinat	Talinum fruticosum
Ceylonzimt	Cinnamomum verum
Ceylonzimtbaum	Cinnamomum verum
Chacruna	Psychotria viridis
Chaix' Königskerze	Verbascum chaixii
Chaix' Königskerze	Verbascum chaixii Vill.
Chaix' Königskerze	Verbascum chaixii Vill. s.str.
Chaix' Königskerze	Verbascum chaixii Vill. subsp. chaixii
Chaix' Rispengras	Poa chaixii
Chaix' Rispengras	Poa chaixii Vill.
Chaix' Wollkraut	Verbascum chaixii
Chaix' Wollkraut	Verbascum chaixii Vill. s.str.
Chaix' Wollkraut	Verbascum chaixii Vill. subsp. chaixii
Chaix´ Rispengras	Poa chaixii
Chaix´ Rispengras	Poa chaixii Vill.
Champaca	Magnolia champaca
Champignonartige	Agaricaceae
Charmeils Rapunzel	Phyteuma charmelii
Charmeils Rapunzel	Phyteuma charmelii Vill.
Charpentiers Mannsschild	Androsace brevis
Charpentiers Mannsschild	Androsace brevis (Hegetschw.) Ces.
Chartreuse	Artemisia sp.
Chäslichrut	Malva neglecta
Chäslichrut	Malva neglecta Wallr.
Chavins Rose	Rosa chavinii
Chavins Rose	Rosa chavinii Rapin
Chayote	Sechium edule
chebulische Myrobalane	Terminalia chebula
Chenault-Schneebeere	Symphoricarpos x chenaultii
Chenopodiaceae	Gänsefußgewächse
Cherimoya	Annona cherimola
Cherlers Wundklee	Anthyllis vulneraria
Cherlers Wundklee	Anthyllis vulneraria subsp. valesiaca (Beck) Guyot
Cherokee-Bohne	Erythrina herbacea
Cherry-Tomate	Lycopersicon esculentum
