Schmalblättrige Steinlinde	Phillyrea angustifolia
Schmalblättriger Lavendel	Lavandula angustifolia
Schmalblättriger Trompetenbaum	Chitalpa tashkentensis
Schnee-Heide	Erica carnea
Schneeballblättrige Blasenspiere	Physocarpus opulifolius
Schneeballblättriger Ahorn	Acer opalus
Schöne Lycesterie	Leycesteria formosa
Schopf-Lavendel	Lavandula stoechas
Schuppenrinden-Hickorynuss	Carya ovata
Schwarz-Birke	Betula nigra
Schwarz-Eiche	Quercus marilandica
Schwarz-Erle	Alnus glutinosa
Schwarz-Fichte	Picea mariana
